model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gpt-5.4,1,2,code-law,3.4,0.2833,140.2,0.90595,0.79345,0.79165,1.2,5.6,0.11624999999999999,0.46665,102.9,177.4,0.80125,1.0,0.72035,0.86165,2.1999999999999997,0.1752,37.25,0.09937499999999999,0.07064999999999999,0.170925,4,16,4,20
gpt-5.4,1,1,nl,1.0,0.0833,100.0,1.0,0.7592,1.0,1.0,1.0,0.0833,0.0833,100.0,100.0,1.0,1.0,0.6736,0.8208,0.0,0.0,0.0,0.0,0.0736,0.0,0,10,2,10
gpt-5.4,2,0,no-contract,5.4,0.45,146.8,0.7801,0.7986,0.64165,3.2,6.5,0.26665,0.54165,119.4,174.3,0.70225,0.89055,0.72295,0.8510500000000001,1.65,0.1375,27.449999999999996,0.09415,0.06405,0.15,8,12,4,20
gpt-5.4,2,1,nl,6.5,0.54165,206.6,0.8386,0.8083499999999999,0.58335,6.5,6.5,0.54165,0.54165,173.8,235.0,0.7596499999999999,0.91265,0.7579,0.8589,0.0,0.0,30.6,0.07650000000000001,0.05050000000000002,0.050100000000000006,10,6,4,16
gpt-5.4,2,2,code-law,3.3,0.275,139.5,0.9199999999999999,0.73255,0.83335,1.1,5.5,0.09165000000000001,0.45830000000000004,101.3,177.7,0.83895,1.0,0.6742999999999999,0.801,2.2,0.18332500000000002,38.2,0.08052500000000001,0.06335000000000005,0.16667500000000002,4,16,4,20
gpt-5.4,2,1,nl,1.0,0.0833,100.0,1.0,0.6704,1.0,1.0,1.0,0.0833,0.0833,100.0,100.0,1.0,1.0,0.6248,0.708,0.0,0.0,0.0,0.0,0.04159999999999997,0.0,0,10,2,10
gpt-5.4,3,0,no-contract,4.666666666666667,0.3888666666666667,138.93333333333334,0.8059666666666666,0.7269333333333333,0.7000000000000001,4.666666666666667,4.666666666666667,0.3888666666666667,0.3888666666666667,125.73333333333333,152.13333333333333,0.7923666666666667,0.8235333333333333,0.6830333333333334,0.7646333333333333,0.0,0.0,13.199999999999998,0.015583333333333338,0.0408,0.016666666666666666,10,18,6,28
gpt-5.4,3,1,nl,9.8,0.8167,250.4,0.7455,0.8205,0.3667,5.4,12.0,0.45,1.0,158.0,342.8,0.4857,0.9828,0.6526,0.9354,3.3,0.275,92.4,0.24855,0.14140000000000003,0.275,8,2,2,10
gpt-5.4,3,2,code-law,4.666666666666667,0.3889,167.26666666666668,0.8538,0.7379333333333333,0.7000000000000001,2.466666666666667,6.866666666666667,0.20553333333333335,0.5722,117.60000000000001,234.48000000000002,0.7684666666666667,0.9368666666666666,0.6744,0.8053,2.1999999999999997,0.18333333333333335,58.44,0.0842,0.06545000000000001,0.18611666666666668,10,12,6,22
gpt-5.4,3,1,nl,1.2,0.1,106.0,1.0,0.6443,1.0,1.0,1.6,0.0833,0.1333,100.0,118.0,1.0,1.0,0.6,0.7169,0.30000000000000004,0.025,9.0,0.0,0.05845,0.0,0,10,2,10
gpt-5.4,4,0,no-contract,5.8,0.4833,185.1,0.8135,0.75075,0.59,4.4,6.5,0.36665000000000003,0.54165,160.86,210.6,0.72575,0.90935,0.6861999999999999,0.78745,1.05,0.0875,24.869999999999997,0.09179999999999999,0.050625,0.068325,8,12,4,20
gpt-5.4,4,1,nl,5.765,0.48055,176.13335,0.8411,0.8383499999999999,0.20834999999999998,3.8,7.0,0.31665000000000004,0.58335,129.7,236.2,0.7335,0.9546,0.6577500000000001,0.93765,1.6,0.13334999999999997,53.24999999999999,0.11055000000000001,0.13995,0.2375,8,8,4,16
gpt-5.4,4,2,code-law,8.5,0.7083333333333334,210.6,0.6164,0.9421666666666666,0.2111333333333333,8.333333333333334,8.666666666666666,0.6944333333333333,0.7222333333333334,153.20000000000002,270.0,0.45976666666666666,0.7850666666666667,0.9220666666666667,0.9586,0.16666666666666666,0.013899999999999997,58.4,0.16265,0.01826666666666667,0.18611666666666668,20,4,6,24
gpt-5.4,4,1,nl,7.6,0.6333,308.8,0.90015,0.8442,0.4439,3.4,11.8,0.2833,0.9833,144.6,472.2,0.7584,0.995,0.714,0.9491,4.2,0.35,163.8,0.11830000000000002,0.11755000000000004,0.32425000000000004,4,6,2,10
gpt-5.4,5,0,no-contract,8.666666666666666,0.7222333333333334,311.73333333333335,0.7591,0.9534333333333334,0.19999999999999998,8.666666666666666,8.666666666666666,0.7222333333333334,0.7222333333333334,289.33,337.07,0.7236666666666668,0.7974,0.9468,0.9584,0.0,0.0,23.869999999999994,0.03686666666666666,0.00579999999999999,0.008333333333333333,20,2,6,22
gpt-5.4,5,1,nl,12.0,1.0,394.0,0.8661,0.9731,0.2833,12.0,12.0,1.0,1.0,348.2,472.8,0.7391,0.9937,0.962,0.9843,0.0,0.0,62.30000000000001,0.12730000000000002,0.011149999999999993,0.19165,10,0,2,10
