model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gemma-4-31b-it,2,2,code-law,12.0,1.0,263.4,0.4802,0.9873,0.0833,12.0,12.0,1.0,1.0,199.195,324.0,0.3593,0.587,0.9828,0.9916,0.0,0.0,62.4025,0.11384999999999998,0.004400000000000015,0.05,10,0,2,10
gemma-4-31b-it,2,2,nl,12.0,1.0,412.8,0.7548,0.9387,0.3167,12.0,12.0,1.0,1.0,382.37,441.825,0.6798,0.8044,0.9022,0.9751,0.0,0.0,29.727499999999992,0.06230000000000002,0.03644999999999998,0.16665000000000002,10,0,2,10
gemma-4-31b-it,3,2,code-law,12.0,1.0,323.6,0.5891,0.9877,0.15,12.0,12.0,1.0,1.0,289.4,357.8,0.534,0.6286,0.982,0.9925,0.0,0.0,34.20000000000002,0.04730000000000001,0.005250000000000032,0.10835,10,0,2,10
gemma-4-31b-it,3,2,nl,12.0,1.0,353.0,0.6487,0.8484,0.4,12.0,12.0,1.0,1.0,304.2,397.6,0.5289,0.7352,0.7733,0.9339,0.0,0.0,46.70000000000002,0.10314999999999996,0.08029999999999998,0.17520000000000002,10,0,2,10
gemma-4-31b-it,4,2,code-law,12.0,1.0,328.2,0.6003,0.9938,0.1833,12.0,12.0,1.0,1.0,303.4,355.6,0.5474,0.665,0.9893,0.9983,0.0,0.0,26.100000000000023,0.05880000000000002,0.004500000000000004,0.05,10,0,2,10
gemma-4-31b-it,4,2,nl,12.0,1.0,428.6,0.7793,0.8811,0.4167,12.0,12.0,1.0,1.0,377.4,479.8,0.696,0.8485,0.819,0.938,0.0,0.0,51.20000000000002,0.07625000000000004,0.0595,0.11665,10,0,2,10
gemma-4-31b-it,5,2,code-law,12.0,1.0,286.0,0.5162,0.9866,0.1167,12.0,12.0,1.0,1.0,217.4,345.8,0.4058,0.6128,0.9839,0.9896,0.0,0.0,64.2,0.10350000000000001,0.002850000000000019,0.049999999999999996,10,0,2,10
gemma-4-31b-it,5,2,nl,12.0,1.0,342.2,0.6214,0.988,0.35,12.0,12.0,1.0,1.0,295.4,404.0,0.5518,0.7164,0.9834,0.9926,0.0,0.0,54.30000000000001,0.08230000000000004,0.004599999999999993,0.18330000000000002,10,0,2,10
gpt-4o,0,0,no-contract,3.2,0.2667,118.8,0.8808,0.9503,0.8833,1.0,7.6,0.0833,0.6333,100.0,156.4,0.6425,1.0,0.9165,0.984,3.3,0.27499999999999997,28.200000000000003,0.17875000000000002,0.03375,0.175,2,8,2,10
gpt-4o,0,2,code-law,5.8,0.4833,132.2,0.6883,0.9176,0.5667,1.4,10.2,0.1167,0.85,101.2,167.0,0.4091,0.9674,0.8934,0.9362,4.3999999999999995,0.36665,32.9,0.27915,0.02140000000000003,0.36665000000000003,4,6,2,10
gpt-4o,0,2,nl,1.4,0.1167,100.2,1.0,0.9169,1.0,1.0,1.8,0.0833,0.15,100.0,100.6,1.0,1.0,0.896,0.9347,0.4,0.03335,0.29999999999999716,0.0,0.01934999999999998,0.0,0,10,2,10
gpt-4o,1,0,no-contract,7.8,0.65,184.8,0.6703,0.8481,0.6,3.4,12.0,0.2833,1.0,122.0,247.6,0.4292,0.8904,0.7835,0.909,4.3,0.35835,62.8,0.23059999999999997,0.06275000000000003,0.2833,6,4,2,10
gpt-4o,1,2,code-law,10.0,0.8333,132.4,0.4076,0.8987,0.2667,6.0,12.0,0.5,1.0,103.4,160.4,0.2089,0.7201,0.8749,0.921,3.0,0.25,28.5,0.2556,0.023050000000000015,0.27499999999999997,8,2,2,10
gpt-4o,1,2,nl,8.2,0.6833,211.2,0.6692,0.8317,0.55,4.2,12.0,0.35,1.0,123.0,300.6,0.4757,0.8736,0.7629,0.8838,3.9,0.325,88.80000000000001,0.19895000000000002,0.060450000000000004,0.325,6,4,2,10
gpt-4o,2,0,no-contract,8.4,0.7,176.2,0.5818,0.8386,0.5,4.4,12.0,0.3667,1.0,132.16,238.64,0.3517,0.8204,0.7866,0.8905,3.8,0.31665,53.239999999999995,0.23435,0.051949999999999996,0.225,6,4,2,10
gpt-4o,2,2,code-law,12.0,1.0,195.2,0.3595,0.9118,0.1333,12.0,12.0,1.0,1.0,136.4,262.0,0.2489,0.4946,0.8919,0.9333,0.0,0.0,62.8,0.12284999999999999,0.020699999999999996,0.03334999999999999,10,0,2,10
gpt-4o,2,2,nl,12.0,1.0,211.8,0.378,0.8472,0.2833,12.0,12.0,1.0,1.0,157.2,300.2,0.3038,0.5074,0.8095,0.8873,0.0,0.0,71.5,0.10179999999999997,0.03889999999999999,0.09999999999999999,10,0,2,10
gpt-4o,3,0,no-contract,10.0,0.8333,169.4,0.4647,0.8805,0.3333,6.0,12.0,0.5,1.0,139.6,199.03,0.3133,0.7315,0.8415,0.9153,3.0,0.25,29.715000000000003,0.2091,0.03689999999999999,0.29165,8,2,2,10
gpt-4o,3,2,code-law,12.0,1.0,196.4,0.3537,0.8933,0.0833,12.0,12.0,1.0,1.0,128.2,267.2,0.2392,0.4683,0.831,0.9597,0.0,0.0,69.5,0.11455,0.06435000000000002,0.04165,10,0,2,10
gpt-4o,3,2,nl,10.8,0.9,249.8,0.5269,0.8541,0.3167,8.4,12.0,0.7,1.0,199.4,300.2,0.4038,0.6702,0.8169,0.8882,1.7999999999999998,0.15000000000000002,50.39999999999999,0.1332,0.035650000000000015,0.20830000000000004,8,2,2,10
gpt-4o,4,0,no-contract,12.0,1.0,246.4,0.4469,0.9255,0.1167,12.0,12.0,1.0,1.0,204.4,301.8,0.3716,0.5315,0.8944,0.9451,0.0,0.0,48.7,0.07995,0.02535000000000004,0.03335,10,0,2,10
gpt-4o,4,2,code-law,12.0,1.0,238.4,0.4345,0.9413,0.1167,12.0,12.0,1.0,1.0,195.2,292.2,0.3555,0.5136,0.9145,0.966,0.0,0.0,48.5,0.07904999999999998,0.025749999999999995,0.05834999999999999,10,0,2,10
gpt-4o,4,2,nl,12.0,1.0,371.8,0.6811,0.8213,0.2333,12.0,12.0,1.0,1.0,343.56,398.205,0.6149,0.7581,0.7389,0.8746,0.0,0.0,27.32249999999999,0.0716,0.06785000000000002,0.05,10,0,2,10
gpt-4o,5,0,no-contract,12.0,1.0,260.2,0.4725,0.9869,0.1,12.0,12.0,1.0,1.0,216.0,306.4,0.4,0.5371,0.9812,0.994,0.0,0.0,45.19999999999999,0.06855,0.006400000000000017,0.049999999999999996,10,0,2,10
gpt-4o,5,2,code-law,9.8,0.8167,236.2,0.6001,0.9695,0.0667,5.4,12.0,0.45,1.0,134.6,329.6,0.4135,0.8238,0.9391,0.9929,3.3,0.275,97.50000000000001,0.20515,0.02689999999999998,0.05,8,2,2,10
gpt-4o,5,2,nl,12.0,1.0,317.0,0.5805,0.9917,0.1,12.0,12.0,1.0,1.0,283.0,338.0,0.5188,0.654,0.981,1.0,0.0,0.0,27.5,0.0676,0.009500000000000008,0.049999999999999996,10,0,2,10
gpt-5.4,0,0,no-contract,7.6,0.6333,193.8,0.6766,0.8408,0.45,3.2,12.0,0.2667,1.0,118.0,265.4,0.4536,0.8996,0.72,0.9501,4.4,0.36665000000000003,73.69999999999999,0.22299999999999998,0.11504999999999999,0.36669999999999997,6,4,2,10
gpt-5.4,0,2,code-law,5.4,0.45,160.0,0.7829,0.808,0.65,1.0,9.8,0.0833,0.8167,100.0,224.0,0.5629,1.0,0.7104,0.9055,4.4,0.36669999999999997,62.0,0.21855000000000002,0.09754999999999997,0.35835,4,6,2,10
